OD;Abolição;Acari;Alto da Boa Vista;Anchieta;Andaraí;Anil;Bancários;Bangu;Barra da Tijuca;Barra de Guaratiba;Barros Filho;Benfica;Bento Ribeiro;Bonsucesso;Botafogo;Brás de Pina;Cachambi;Cacuia;Caju;Camorim;Campinho;Campo Grande;Campo dos Afonsos;Cascadura;Catete;Catumbi;Cavalcanti;Centro;Cidade Nova;Cidade Universitária;Cidade de Deus;Cocotá;Coelho Neto;Colégio;Complexo do Alemão;Copacabana;Cordovil;Cosme Velho;Cosmos;Costa Barros;Curicica;Del Castilho;Deodoro;Encantado;Engenheiro Leal;Engenho Novo;Engenho da Rainha;Engenho de Dentro;Estácio;Flamengo;Freguesia (Ilha);Freguesia (Jacarepaguá);Galeão;Gamboa;Gardênia Azul;Gericinó;Glória;Grajaú;Grumari;Guadalupe;Guaratiba;Gávea;Higienópolis;Honório Gurgel;Hunaitá;Inhaúma;Inhoaíba;Ipanema;Irajá;Itanhangá;Jabour;Jacarepaguá;Jacarezinho;Jacaré;Jardim América;Jardim Botânico;Jardim Carioca;Jardim Guanabara;Jardim Sulacap;Joá;Lapa;Lagoa;Laranjeiras;Leblon;Leme;Lins de Vasconcelos;Madureira;Magalhães Bastos;Mangueira;Manguinhos;Maracanã;Marechal Hermes;Maria da Graça;Maré;Moneró;Méier;Olaria;Osvaldo Cruz;Paciência;Padre Miguel;Parada de Lucas;Parque Anchieta;Parque Colúmbia;Pavuna;Pechincha;Pedra de Guaratiba;Penha;Penha Circular;Piedade;Pilares;Pitangueiras;Portuguesa;Praia da Bandeira;Praça Seca;Praça da Bandeira;Quintino Bocaiúva;Ramos;Realengo;Recreio dos Bandeirantes;Riachuelo;Ribeira;Ricardo de Albuquerque;Rio Comprido;Rocha;Rocha Miranda;Rocinha;Sampaio;Santa Cruz;Santa Teresa;Santo Cristo;Santíssimo;Saúde;Senador Camará;Senador Vasconcelos;Sepetiba;São Conrado;São Cristóvão;São Francisco Xavier;Tanque;Taquara;Tauá;Tijuca;Todos os Santos;Tomás Coelho;Turiaçu;Urca;Vargem Grande;Vargem Pequena;Vasco da Gama;Vaz Lobo;Vicente de Carvalho;Vidigal;Vigário Geral;Vila Isabel;Vila Kennedy;Vila Kosmos;Vila Militar;Vila Valqueire;Vila da Penha;Vista Alegre;Zumbi;Água Santa
Curicica;;;85.681;;300.999;;;;3162.523;;;;;;;90.735;;;74.097;8.577;;;;231.215;;;;;;;1047.355;;;;;;242.899;;;;2309.379;;14.777;;;130.242;;;;;;1058.695;12.049;;;;;618.319;;;;;;;;;;;286.751;;;4001.62;1243.485;;;80.859;;;;;;;;32.181;;;1663.039;;;55.176;;;;;;206.882;;;;;;;;;;;304.806;;;;;;;417.327;;151.744;;;222.673;;;;;;;;;;;;;;;;;789.18;27.135;;56.745;;;;;;;2.458;442.723;423.792;;;;;;198.64;;;;953.669;;;;
Del Castilho;2537.923;;;108.446;;;;240.358;354.558;;183.529;365.358;;1506.968;;183.375;1941.618;;204.306;;46.051;472.766;22.093;899.127;;;;;284.635;312.02;;;167.985;;1973.193;138.401;209.73;;;;;2385.195;35.828;141.066;49.02;1055.018;2273.029;2389.263;39.588;;;;560.386;245.186;;;;235.19;;196.132;;;;;240.674;836.705;;84.77;1778.435;;;380.895;2072.984;;128.624;663.743;;31.601;14.127;;544.962;;;90.105;;;796.918;;268.717;252.781;1748.54;274.329;1183.81;1888.212;;1063.897;162.705;212.892;;;171.004;118.524;;339.199;;;1320.352;1472.286;544.714;;;;;292.844;;1238.627;431.519;397.563;;744.747;;;;;49.585;;;;63.776;34.558;;62.287;;;;;904.073;;351.001;;439.511;124.098;1868.852;;285.98;377.817;;;;;391.195;;;755.972;;446.962;;553.209;;;;
Deodoro;8.733;;10.05;145.394;;;;2430.395;46.388;;88.891;;38.013;43.03;;111.55;;;300.075;;10.591;141.268;13.756;39.209;;;;;45.675;19.741;;;5.995;;;20.268;77.847;;;246.327;9.942;15.937;671.983;;;;199.787;29.173;;;6.498;213.666;19.597;15.455;;;;10.942;;912.055;;;;7.027;;;;9.079;733.872;;;169.296;;;;;;;58.222;;;;15.591;17.156;;;1025.431;301.023;;81.051;50.01;633.317;;83.258;;6.596;;57.245;;;;238.935;;148.096;;18.559;;56.891;14.924;;;;;7.937;8.498;37.787;5.35;306.4;;;;176.826;3.696;27.173;7.658;;;544.415;;;;15.27;;;;6.297;9.512;;4.373;;;318.719;27.379;;;87.825;;;;;7.915;;;12.636;;211.009;134.676;15.27;;;;
Encantado;;;84.499;;;;;37.066;;;;;;;;;;;;;;;;105.581;;;;;;;;;;;;17.662;;;;;;78.246;;;;;39.934;63.935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.813;;;;38.831;;;;180.54;;;;;141.813;;;;;90.451;;;;;;;81.546;120.16;;;;;;78.159;37.218;;;;;;;;;;;;;;;;;;;;;50.076;;;;;;246.313;;;;;;;;;;;;;;;;;;;
Engenheiro Leal;;;;;;;;;;;;;37.7;;;;;;;;;;;244.356;;;;;;;;;;;79.914;26.894;;;;1284.987;;78.764;;;;;79.914;;;;;;;;;;;;;;;;;;;;;;155.033;;;;;;;;;;;;;;;;;;1115.79;;20.102;;;76.608;;;;37.019;;;;;;;;348.373;;;171.874;36.411;;;;;;;;127.423;;;;;;;;;;;;;;;;;;;;;;;;;;;119.296;;;;;;;;;;;;;;;;;;;
Engenho Novo;;;25.89;;;;;157.855;285.673;;;98.561;;201.478;;;393.551;;383.835;;73.087;;;246.189;111.725;;;;191.906;1242.886;1365.716;;;;109.438;857.69;;;;;325.122;709.572;;51.108;;1308.34;;841.964;;;;222.72;;128.962;;;;993.27;;;;;;62.441;;;;321.911;;;;;312.049;;;;;124.607;25.339;;90.503;;320.196;64.74;;;396.904;111.58;153.21;184.005;1667.881;151.293;64.545;699.464;;5337.197;;;;;;158.858;;131.896;109.682;;;;599.766;;;;;;195.394;1655.143;126.763;;42.962;414.535;;;25.783;505.656;;;191.39;;386.316;;;;47.902;;;95.633;493.369;;52.692;;47.254;1220.145;917.151;;;276.582;;;;;;;199.362;3401.07;;307.273;;;;;;
Engenho da Rainha;1031.9;;;;;;;2194.066;662.435;;;;;1373.201;;157.637;266.214;;187.46;;;303.679;;1357.373;142.152;;;;;649.9;;;68.226;;2264.543;548.231;163.884;;;;;3157.781;172.022;89.567;57.974;;6754.105;1617.16;22.594;;114.871;2316.437;556.423;37.849;;;;614.74;;1378.444;;;;423.91;;1205.918;;;2605.849;76.6;;375.472;695.465;;158.3;;;;;;;;89.302;178.174;;;560.014;;;454.317;894.341;2357.279;1236.009;1760.794;;2032.279;;708.073;;;39.996;186.145;;1277.847;;;235.76;1011.743;1533.483;;;;;115.118;;700.072;536.425;;33.597;;;175.782;;89.518;;;;67.093;255.793;;;27.95;206.355;;;;990.156;;;;745.242;93.473;2431.521;;60.668;;51.224;;;;404.103;;;622.063;;285.528;;260.48;;;;
Engenho de Dentro;565.665;;24.895;;730.224;;;959.918;3717.498;;;57.321;;365.597;;;502.445;;53.135;;68.955;;4.851;638.812;211.306;;;;232.121;;55.29;;;;149.308;409.898;;;;;;1434.149;17.497;98.877;;549.646;1682.776;5613.587;219.493;33.829;;774.449;627.373;;;;;136.177;;;;182.606;;230.174;;;;306.383;780.253;;;250.624;267.875;;;;;100.669;15.717;;;;167.12;403.823;;;1502.134;137.16;;129.939;1192.625;724.38;1252.589;831.354;;5333.913;;544.375;;;154.87;;;1322.116;405.338;;254.667;;1956.548;;;372.318;;;342.108;1603.443;143.314;;;370.208;;;;221.441;;;61.65;;55.062;;;425.955;;;;6.405;287.592;;300.232;;702.227;635.079;1156.784;;;;;;;;1292.958;;;821.076;;380.103;;;;;;
Estácio;;;83.824;485.357;84.216;;;;326.893;;;;;66.324;;;;;55.122;;;;;;89.591;;;;345.544;;108.588;;;;;293.858;79.332;;;;;71.444;;;;;87.576;58.957;629.897;;;;;28.849;;;;335.175;;;;32.563;;;;172.471;;35.524;102.878;159.674;;;;;;;;;69.541;;106.497;;84.216;138.57;;;;205.747;;251.082;283.508;;;;;61.878;;;;;;;;;;;1061.762;;;;;;;;400.858;;;;;;;;528.53;;;;;;949.224;11.39;;739.584;;;;;81.966;;71.487;;;317.834;59.403;;;10.479;;37.224;;;;;52.88;144.073;;;;1082.912;;;;
Flamengo;;;;;;;;163.071;944.225;;;;177.252;;;;;;17.1;;;333.905;;;3613.252;;;;397.577;305.865;;;134.49;;467.268;1294.454;101.355;;;;;;;;;;;;;2565.459;;141.293;;;;;833.113;411.713;;76.874;;848.488;;;464.416;;1210.906;2073.6;89.773;;;81.41;;;;;;;;;;;1494.225;642.809;743.196;;62.08;;52.79;15.792;459.882;;;;;103.298;;;;;25.031;50.963;;;;;;;54.808;;;;;;;78.109;78.524;;;;;;185.145;118.73;;;211.625;;1901.463;;;637.599;;;;17.321;152.212;;67.642;;;1201.52;;;;242.597;;;;;;472.356;67.749;;;;;;;;;
Freguesia (Ilha);;;;;;;;;;;;;;203.805;;;;;;;;;;;;;;;;18.829;;1736.92;;;;;1083.316;;;;;;17.945;;;;257.905;;;;1461.001;;1217.185;;;;;;;;;;;;;;;;21.694;;;;;;;;;2671.389;;;;;;;;;212.189;;;;;464.464;;196.469;;;;;;;;;;;;;;;;;;2403.055;;;;;;;367.45;;;;;;;;;;;;;;;;;;986.018;;;;6128.807;;;;;;38.674;;;;;;;671.478;;;;;;;;
Freguesia (Jacarepaguá);;;166.532;224.47;;1028.997;;2877.76;7877.466;;128.171;;;;;;;;;294.196;331.462;1116.097;;525.052;;;;;;568.485;2236.955;;178.236;;;617.692;20.628;;;981.018;890.098;;;;;120.96;395.845;1605.282;;92.612;;29590.732;206.111;;;;83.453;455.338;;111.29;939.657;1910.794;;;80.128;;;1179.313;1057.763;1952.068;;11709.232;;;;;;;;;;;;106.041;47.239;;1406.474;229.577;76.458;996.239;486.805;210.161;;;;400.212;;;;;84.294;;;362.15;2463.901;;146.757;202.502;518.209;;;;;1876.613;;;;118.104;445.385;;;121.529;;96.104;752.457;;;;;;;;;;;717.321;;;4329.535;;;444.898;152.803;;;;127.57;443.22;;;51.833;;;69.778;;;;345.528;;;;
Galeão;;;;76.526;;;;393.755;833.561;;47.267;;;297.73;;275.759;83.862;;185.354;;;466.418;89.053;135.718;;;;;197.92;316.381;;1809.462;;;144.685;29.881;159.396;;;;29.661;287.969;11.374;;;;478.013;67.638;;;1337.806;454.593;4815.254;19.141;;;17.571;275.709;;133.752;;436.019;;;;81.009;;100.709;647.244;;;59.056;70.452;;;15.863;;1674.02;191.393;;;;26.743;;;;;;;;2048.007;;;1134.482;;69.633;16.881;131.194;;;123.064;447.766;;252.498;12.007;;4338.42;774.746;138.028;;;5497.685;;;1042.31;96.241;2559.651;;319.841;;;;307.265;;172.659;;;85.308;422.746;;;24.081;;;;24.596;194.395;;35.942;;3517.534;218.922;;;;;83.096;;;;81.604;;;957.724;;62.333;;;;;;
Gamboa;26.527;;;;21.086;;;;89.552;;60.155;;;103.577;;;;;965.935;;30.241;766.246;;417.991;672.631;;;;173.697;13.529;;;;;305.256;176.953;;;;231.927;;262.389;41.595;;;60.507;37.107;;18.278;;;;13.577;897.722;;;306.806;;;195.024;;60.619;;461.567;64.331;;;207.909;46.523;;;;2236.323;;;;;;;;217.506;;87.099;36.326;;;138.132;;58.978;14.464;122.298;;;25.464;;82.658;31.908;2129.988;;;73.374;;;;121.582;;;145.769;291.184;;;;;;131.776;;;;;;;;;;;;;419.566;362.349;68.657;;384.689;;;109.754;;404.454;;73.777;;;2292.21;35.696;;37.783;13.281;;;;;;;;102.675;;;;;;;;
Gardênia Azul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gericinó;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glória;;;7.43;;;;;594.906;272.194;;;;;;;140.296;;;276.123;;;144.902;;38.868;53.007;;;;;;;;;;;436.167;;;;;;;8.651;;;;;;;397.33;;156.349;11.218;197.209;;;50.305;;;;;117.338;;;217.674;;;747.452;15.027;;;45.318;;;398.748;61.768;;97.536;;;359.949;;16.808;;;;;;;;579.913;;;73.755;;;;;;;;;;;;;2.684;36.944;;;;;;377.061;;;;;;;;;;;;;;;544.51;31.047;;;;;;30.176;13.664;;;;;1021.703;;;;20.511;;;;;;;;40.668;;302.275;;;;;;
Grajaú;;;11.099;;915.368;214.986;;441.571;2471.605;;;;50.433;315.76;;;121.068;;372.813;;;571.908;;351.077;;;;;628.063;410.76;;;;;;111.502;;;;;1070.702;79.035;10.274;;;1069.895;568.056;119.192;287.234;80.813;;190.851;43.081;;;;;2897.635;;;;;;;;;;;99.003;;;75.539;315.76;;;;;;;;;;99.185;3667.24;;;137.957;;84.028;139.02;3643.958;159.474;87.786;489.81;;543.746;189.16;;;;;116.755;;;;;148.492;323.995;288.569;;;;;;1206.707;688.391;;;;;;;;;;;38.783;;196.092;53.395;;658.172;;;;5.503;1300.57;;;;;3962.281;494.721;;;;;;;;409.351;;;5446.701;;;;;;;;
Grumari;;;;;;;;;6.194;;;;;;;;;;;;;24.578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70.689;;12.612;;;;;;;;;184.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;151.332;;;;;;;;;;;;;;
Guadalupe;;;;1426.855;;;;1270.566;618.901;;260.169;;741.675;668.889;;;;;88.19;;;900.137;171.216;151.338;;;;;444.672;;;;13.187;;299.661;534.696;223.717;;;1075.175;;263.079;1150.573;;;;879.447;;;119.79;;292.038;79.312;;;;;;;2241.59;205.834;;;59.431;;;;79.102;2149.32;;;256.223;;;243.459;;;;;;85.013;;;;;;833.916;;;;150.587;825.5;;585.518;;157.787;;551.458;;;;677.145;;398.157;;;73.946;;134.23;;;;;104.567;;447.434;59.869;489.231;;;;112.035;;;232.208;;;;;;;;;;;;7.474;;;;;;69.916;;220.19;;;;;;;;;198.714;;;;259.197;;;;
Guaratiba;;;469.43;;;;;65.461;3837.037;;;;19.522;;;;623.128;;115.731;;;14309.244;;56.361;;;;;;;14.077;;;;;1238.661;;;792.928;;;;;;;;;;;;;224.012;;;;;1023.174;;7.94;77.426;13113.249;378.283;;;71.534;;350.17;61.533;219.05;;;556.372;;;;;;;;;;;;;;;272.634;;;6.54;;117.024;;;;173.666;;;;;;;;;;4709.498;;;;;;;;;17.621;;;;852.064;;;;;;;;;785.043;;;703.547;;;672.125;522.343;50.419;;;;;;;;;;;37.17;67.368;;;;148.651;;;;;;;;;;
Gávea;;;2278.274;81.82;748.572;;;1501.536;10349.136;;;;;167.221;;;751.971;;87.634;;;;;;1343.493;;;;772.993;158.09;618.185;131.001;;;931.997;3808.095;87.562;;;;;;9.934;;;;;212.755;502.517;319.604;;1647.419;658.228;44.556;;;144.948;;;;345.928;37674.509;;;725.185;;;8063.297;557.894;467.172;;4250.151;;;;2648.758;;464.298;13.749;;4334.256;;3422.998;9024.768;121.232;;;;;40.051;6860.392;;;1096.123;;;;614.629;;;;;;;1298.565;;;341.359;;;;;;829.586;961.994;;;211.151;;83.816;;;;;;;;;261.028;8.005;;;;;;3928.604;1173.053;;;;;1186.601;330.216;;;1249.595;;325.172;;;157.141;1040.528;;607.591;;;;167.717;;;;
Higienópolis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honório Gurgel;;;;181.314;;;;188.725;110.842;;112.064;;413.255;;;;;;;;;;;149.681;;;;;;;;;;188.49;;;;;;;;110.794;12.1;;;368.381;229.426;181.496;;;;;;334.366;;;;;;67.893;;;;735.741;;;;97.866;424.835;;;25.583;;;;;;;;;;;;;;;627.037;;;;341.355;348.237;;;;120.997;;164.567;;;;;;292.473;;;46.218;135.086;194.352;;;364.088;;;;;;;;;;;;;932.564;;;;41.474;;;214.736;;;;;48.929;;;;;281.509;139.949;;;;;;;;44.113;;;37.077;;;105.914;;;;;
Hunaitá;;;411.838;;;;;;1092.187;;;;;;;;;;108.495;;;;;;908.547;;;;1161.824;1031.772;;;;;;1694.131;90.556;;;;;1082.33;;;;;;;;704.01;;902.505;;62.117;;;185.722;;;;266.977;3201.042;;;893.792;;;1945.161;364.745;;;833.541;143.069;;;636.317;;488.91;;;623.681;;2387.151;2105.134;118.928;;210.361;;467.348;43.151;1117.271;;;;;;;;;;;;;;;;;;;;;;;;;;;;253.556;;;;;759.564;;;;;1431.468;;;;;;;197.036;330.088;;;;;2153.147;;;;35.273;56.88;33.781;;;;;;;;;;;;;;
Inhaúma;;;;;;;;;31.385;;;;;;;;;;;;;;;79.599;;;;;;;;;527.546;;2148.129;;;;;;;1028.79;;;;;1406.311;;21.42;;;;706.52;;;;;;;;;;;;;195.456;;;141.128;;;132.484;;;;;;;;;;;;;;;;;;20.611;;;72.069;169.438;;;;;;;;;;;;;;334.745;72.414;;;;;;;169.856;76.669;;;;;;;;;;;;;;;;;;;;96.508;;;;;;56.498;;;;;;;;;;;;;303.238;;;;;;
Inhoaíba;;;;;;;;213.215;;;;;156.934;;;;;;;;;3625.822;;;;;;;;;;;;;;;;;681.591;;;;;;;;;;;;;;;;;;;;;;405.593;;;;;;1605.668;;221.5;;;;;;;;;;;;;;;;;;;208.21;;;;;;;;;;;855.578;;288.968;;;221.5;;;;;;;;;;;;;;;;;;;;;;;;433.09;;;525.892;;;579.574;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ipanema;;;899.825;;;137.904;;1406.815;6238.033;;86.856;;;232.687;;185.465;;;1321.983;;;636.327;;48.453;3722.169;;;;725.427;318.143;;;;;;10182.004;2336.279;;;;;52.692;8.411;;;484.913;;1468.413;275.629;2728.749;;1405.822;282.573;295.881;;;846.914;21.384;;242.271;;10495.646;;98.449;660.165;;;9167.611;;72.016;;1046.85;1405.997;;;1161.887;;;;;2557.037;;4642.905;9733.59;351.2;;;;403.088;688.725;505.74;;193.988;;;1475.362;;421.928;;;;37.213;;;;;;;117.537;;;;;148.943;458.255;;;631.445;185.965;;;;;;;;2377.65;;817.792;;;542.343;489.35;;;1445.263;3352.877;;;;291.298;3468.562;379.791;;;1223.927;;149.836;;;;772.177;;468.351;;48.07;;264.646;;;;
Irajá;115.27;;;143.421;16.31;276.744;;1461.258;532.277;;482.587;;1648.719;695.63;;3380.953;21.332;;1452.961;103.593;255.198;2981.253;55.577;1106.348;14.038;;;;163.664;481.275;610.299;;3181.88;2748.47;1414.362;176.346;4637.214;;;570.596;179.759;3718.619;694.756;;130.245;293.564;1987.476;1036.558;177.317;69.509;32.803;262.612;1339.586;197.818;;;22.338;102.393;;3009.731;332.23;274.893;;374.202;147.461;181.17;;;81632.226;7.123;;573.675;818.96;;1454.307;;;558.28;;;246.706;;27.079;63.9;24.504;;13661.7;;736.023;1113.701;1482.107;570.773;186.584;4546.952;;279.005;648.943;3697.315;1014.263;;2137.315;;;7304.407;329.19;9.271;2366.821;14591.801;647.407;;;182.686;;632.065;78.664;127.473;745.501;1574.371;887.95;39.183;;;338.815;271.182;2281.906;;;658.984;179.923;10.998;394.711;407.673;;;64.39;;3416.87;;46.468;;418.37;717.92;662.729;;1450.363;90.202;130.517;328.949;;;74.941;;1880.744;651.032;;2364.707;357.25;1215.348;;;;
Itanhangá;;;268.976;;;142.158;;48.107;12282.673;;;;;;;;;;;;;;;94.479;;;;;;;;;;;;1301.944;;;;;;;;;;;;;66.704;;;5450.416;;;;;541.462;;90.214;;;2485.765;;;;;;339.001;15.781;2257.216;;1974.42;;;;;;;;;86.749;;;804.646;199.974;;;;;;152.393;;;3454.167;;;;;;;79.599;;;;95.008;;63.031;;;;;;;117.044;;;;;352.181;;;;;;;;;261.77;41.062;;;;;;;592.104;;;59.333;;;14.583;;;;;;;;;;;;;;;;39.274;;;;
Jabour;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jacarepaguá;;;533.965;;53.409;778.108;;406.255;17667.255;;34.184;;249.52;740.698;;;185.568;;274.38;674.54;474.663;1412.553;26.545;961.732;27.199;;;;183.358;167.446;1072.159;;;;;2056.166;;;;;3815.346;938.218;251.003;;;311.838;178.456;107.744;;141.983;;13290.531;50.208;;;;438.281;;;35.82;656.84;4703.49;;28.574;204.719;48.747;;808.337;1568.98;1036.623;;13440.523;62.603;;;34.909;;;42.813;;1656.82;;238.976;3008.811;;;1805.528;136.768;;78.05;2101.612;262.567;160.112;361.085;;106.828;;51.588;472.952;;78.282;;;26.234;1529.488;;;223.704;979.715;;;68.911;;1298.642;;278.09;;399.115;2873.114;17.918;;71.691;;23.731;;;;517.658;;;;;;;;692.932;175.453;;4333.398;;254.249;838.971;106.796;;133.296;4.124;364.21;1781.238;;;28.459;;;649.2;;;;785.442;;;;
Jacarezinho;;;;;;;;25.207;208.511;;;190.016;128.448;1922.655;;;1673.611;;81.014;;83.583;;;148.732;89.57;;;;899.493;398.172;366.968;;;755.391;196.212;273.873;;;;;394.224;2255.416;;;;303.973;613.314;405.446;;;;;63.523;904.753;;;;965.642;;;;;;;61.175;;;325.52;784.583;;;99.066;3489.953;;;22.739;;;34.641;;32.169;;12.018;212.15;;;417.804;;190.333;180.991;450.678;;795.512;1422.168;;1722.247;;;;;198.548;;;;;;202.028;495.172;60.235;;;;;2916.825;91.15;232.796;245.839;31.122;5.586;;;;19.143;883.824;79.467;;;;75.399;7.316;;340.814;;;;;1046.568;;;;36.889;608.445;1667.753;;60.21;37.034;;42.676;;;75.295;;;1296.765;;177.657;;234.769;;;;
Jacaré;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jardim América;;;79.786;;;;;420.847;109.061;;;;;;;;;;67.916;;;;;;321.616;;;;;;;;;;;;170.032;;;;87.101;122.89;;;;;285.284;;;;;;;;;;195.173;;;290.216;;;;;;;;;687.497;;;;;;2088.62;;;;;;;;;;;;165.551;;;;;;86.809;1083.513;;;;;;;370.475;;;464.38;;;812.627;206.395;36.082;;;103.622;;;;;;;;37.547;;;;;;;;;;;;;;;;;286.033;;;;;;117.68;;;;;;;;;;1422.846;;;;;;;;;
Jardim Botânico;;;203.189;;;;;;105.389;;;;;;;;;;;;;;;;429.961;;;;47.081;;;;;;;2154.179;;;;497.358;280.409;113.561;;;;;;;;;;;34.641;;;;;;;;;2709.987;;;805.664;;;1399.986;;;;163.556;90.906;;;;;;;;162.423;;814.275;710.4;;;;;;72.227;;;;786.777;;;;63.582;;;;62.325;;;;;;;;;;;;;59.644;;991.328;;;;;;;;;;;121.65;1273.168;56.185;;;;;;232.138;246.57;;;;;22.571;;;;25.571;;;;;;;;50.436;;;;;;;;
Jardim Carioca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jardim Guanabara;;;;;;;;;576.237;;;683.162;;;;;;;;;;279.924;;;;;;;;2885.287;;5886.037;;;;;157.621;;;;;70.172;;;;178.73;;149.587;;;3045.473;;1809.031;;;;176.363;;;;;;;;;;;;437.653;;;;;;;;;6396.877;;;;;126.57;;;;;;;6.707;376.724;;;558.678;;;152.592;;;;;;;82.265;;;;339.059;901.616;;;2542.919;;;;;110.589;;;;;;;;;;;266.6;;;;;;;;;;;;;4599.865;402.433;;;;;;;;;;;153.973;;;;52.629;;;;;
Jardim Sulacap;;;;;;;;2229.246;429.696;;;;951.622;;;;;;;;;1881.019;208.939;779.01;;;;;275.579;;;;;;;10.166;;;119.504;;;38.683;76.835;;;;;89.649;25.978;;;18.174;64.871;;;;;;;184.242;;18.305;;;;;;;;;;60.976;29.692;;;;;;1085.138;;;;24.561;;;;656.365;;;;344.024;150.753;;53.893;;;;914.114;;;;;;;119.613;;;;18.316;;;;;;;;;248.524;245.182;;;;;;;;;410.296;;;;;;;;31.874;687.875;;;;;;;;;;;;;;;;;;;;197.322;1285.694;;;;
Joá;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lapa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lagoa;;;924.725;122.925;42.078;;;2211.984;1399.769;;;;;475.938;;172.62;;;693.802;;;;;28.311;253.732;;;;;1409.804;;;;134.232;903.795;3800.572;;;;;;145.176;;;;545.554;;;177.495;;;;;85.187;;;329.856;;;172.394;;4227.236;;;287.457;;;2383.511;477.579;802.042;;2162.486;128.605;;;183.865;;;;;1472.885;;1365.993;2175.173;;;;;;302.386;626.063;;;;;;1897.942;;;;;;;;694.864;;52.272;83.141;;;;;;;614.826;234.975;;;343.777;;;;;;;;;;1489.535;;;;;;;260.382;1722.373;;;;;1469.797;;;;91.834;;;;;;309.838;;57.767;;;;;;;;
Laranjeiras;;;1060.004;;;;;145.882;2130.161;;;94.321;;147.287;;272.48;302.626;;1114.78;;28.251;137.414;;40.576;6689.546;;;;728.88;1265.555;;;442.682;;;9257.278;455.334;;;158.535;;;26.58;34.698;;869.352;250.435;578.33;58.951;1103.463;;163.927;41.816;172.55;;;23.19;458.301;;24.3;;3238.555;;;1856.953;;;5189.968;26.83;;;265.07;25.544;;;940.044;;137.959;;;1391.092;;10305.676;1240.777;1579.021;;18.806;;46.672;14.657;1389.634;;;1509.105;;731.431;738.438;738.587;;;;423.475;;421.84;;192.329;748.476;200.602;113.704;;;;;;;298.389;318.685;53.802;;44.723;;;238.443;392.491;128.182;;44.892;;7466.483;177.932;;1099.814;;;;185.272;1449.328;;;;59.567;3175.052;87.759;;;1188.057;;127.959;;;74.174;70.615;;790.566;;;37.746;;;;;
